id;nom;pays;region;localite;remontees;km_pistes;bas_m;sommet_m;lat;lon;site_officiel_connu;page_tarifs_trouvee;manque;raison;photo_url;photo_legende;forfait_jour_adulte;devise;periode;source;note
at-sonnenlift-axams;Sonnenlift Axams;Autriche;Tyrol;Axams;1;0.9;916;994;47.22559;11.27253;;;forfait;aucun site web connu (OpenSkiMap n'en publie pas);;;;;;;
at-sonntag-stein;Sonntag Stein;Autriche;Vorarlberg;;3;6.4;1293;1752;47.22889;9.91957;https://www.seilbahnen-sonntag.at/;https://www.seilbahnen-sonntag.at/de/ticketpreise;forfait;site visité, rien d'exploitable dans ses métadonnées ni ses tableaux;;;;;;;
at-spechtenseelift-worschachwald;Spechtenseelift - Wörschachwald;Autriche;Styria;;1;1.9;1099;1259;47.56454;14.08229;;;photo;aucun site web connu (OpenSkiMap n'en publie pas);;;;;;;
at-st-martin-im-tennengebirge;St. Martin im Tennengebirge;Autriche;Salzburg;;2;2.5;946;1150;47.46756;13.37485;;;photo;aucun site web connu (OpenSkiMap n'en publie pas);;;;;;;
at-stubai;Stubai;Autriche;Tyrol;Mieders;45;86.3;959;3208;47.06863;11.25806;https://www.stubai.at/;https://www.stubai.at/aktivitaeten/skifahren/stubai-skipass/;forfait;site visité, rien d'exploitable dans ses métadonnées ni ses tableaux;;;;;;;
at-sulzberg;Sulzberg;Autriche;Vorarlberg;;1;0.8;968;1003;47.52159;9.90960;;;forfait;aucun site web connu (OpenSkiMap n'en publie pas);;;;;;;
at-tallifte;Tallifte;Autriche;Vorarlberg;Mittelberg;1;1.9;1128;1252;47.32907;10.17160;;;forfait;aucun site web connu (OpenSkiMap n'en publie pas);;;;;;;
at-tirolina-haltjochlift;Tirolina - Haltjochlift;Autriche;Tyrol;;2;3.3;852;1075;47.58039;12.06563;https://www.tirolina.at/;;photo;site injoignable (404);;;;;;;
at-tobadill;Tobadill;Autriche;Tyrol;;1;2.6;1186;1356;47.12074;10.51587;;;photo;aucun site web connu (OpenSkiMap n'en publie pas);;;;;;;
at-tschardund-nenzing;Tschardund – Nenzing;Autriche;Vorarlberg;;1;1.1;830;974;47.17792;9.66967;;;forfait;aucun site web connu (OpenSkiMap n'en publie pas);;;;;;;
at-turnau;Turnau;Autriche;Styria;;5;3.9;776;1240;47.55602;15.35131;;;forfait;aucun site web connu (OpenSkiMap n'en publie pas);;;;;;;
at-untersberg;Untersberg;Autriche;Salzburg;;0;0;;;47.71734;13.00504;https://www.untersbergbahn.at/;https://www.untersbergbahn.at/infos/preise/;forfait;site visité, rien d'exploitable dans ses métadonnées ni ses tableaux;;;;;;;
at-viehberg;Viehberg;Autriche;Upper Austria;;2;2.7;962;1108;48.56104;14.62993;https://www.viehberg.at/;https://www.viehberg.at/deutsch/viehberg-lifte/preise/;forfait;site visité, rien d'exploitable dans ses métadonnées ni ses tableaux;;;;;;;
at-virgen;Virgen;Autriche;Tyrol;;1;0.5;1109;1179;46.99869;12.44659;;;forfait;aucun site web connu (OpenSkiMap n'en publie pas);;;;;;;
at-vogelsberg-wattens;Vögelsberg - Wattens;Autriche;Tyrol;;1;0.5;866;970;47.27447;11.59128;;;photo;aucun site web connu (OpenSkiMap n'en publie pas);;;;;;;
at-waldrastlift-ehenbichl-reutte;Waldrastlift – Ehenbichl (Reutte);Autriche;Tyrol;;6;1.8;856;969;47.46839;10.71712;;;photo et forfait;aucun site web connu (OpenSkiMap n'en publie pas);;;;;;;
at-wildstattlift-wattenberg;Wildstättlift Wattenberg;Autriche;Tyrol;;1;0.3;1210;1318;47.27425;11.61515;;;photo;aucun site web connu (OpenSkiMap n'en publie pas);;;;;;;
at-wurzeralm;Wurzeralm;Autriche;Upper Austria;;19;22.9;807;1859;47.63950;14.28415;https://www.hiwu.at/;https://skisport.com/hinterstoder/de/tickets-preise;forfait;site visité, rien d'exploitable dans ses métadonnées ni ses tableaux;;;;;;;
at-zwergberg-furx;Zwergberg Furx;Autriche;Vorarlberg;;1;0;1148;1155;47.27495;9.69008;;;photo;aucun site web connu (OpenSkiMap n'en publie pas);;;;;;;
at-zwolferhorn-st-gilgen;Zwölferhorn (St Gilgen);Autriche;Salzburg;St. Gilgen;1;0;556;1470;47.75424;13.35872;https://www.zwoelferhorn.at/;;forfait;site visité, rien d'exploitable dans ses métadonnées ni ses tableaux;;;;;;;
az-sahdag-xiz-k-kompleksi-shahdag-mountain-resort;Şahdağ Xizək Kompleksi, قريه شاهداغ الثلجية, Shahdag Mountain Resort, Горнолыжный курорт Шахдаг;Azerbaïdjan;Qusar;;12;26.6;1435;2551;41.30367;48.14719;https://www.shahdag.az/;https://www.shahdag.az/az/ski-passlar;photo et forfait;site visité, rien d'exploitable dans ses métadonnées ni ses tableaux;;;;;;;
az-tufandag-mountain;Tufandag Mountain;Azerbaïdjan;Qabala;;5;14.1;971;1920;41.02684;47.87874;;;photo et forfait;aucun site web connu (OpenSkiMap n'en publie pas);;;;;;;
ba-javor-ski-srebrenica;Javor ski Srebrenica;Bosnie-Herzégovine;Republic of Srpska;;1;0.4;784;826;44.06509;19.32200;http://javor-ski.com/;;photo et forfait;site injoignable (pas de réponse);;;;;;;
ba-sarajevo-olympic-bobsleigh-track;Sarajevo Olympic Bobsleigh Track;Bosnie-Herzégovine;Sarajevo;Sarajevo;0;0;;;43.84096;18.44451;;;photo et forfait;aucun site web connu (OpenSkiMap n'en publie pas);;;;;;;
ba-ski-centar-ranca;Ski Centar Ranča;Bosnie-Herzégovine;Central Bosnia;;1;0;1281;1420;44.37945;17.38835;;;photo et forfait;aucun site web connu (OpenSkiMap n'en publie pas);;;;;;;
ba-ski-centar-ravna-planina-pale-ski-center-ravna-planina-pale;"Ski centar ""Ravna Planina"", Pale, Ski Center ""Ravna Planina"" Pale, Ски центар Равна Планина, Пале";Bosnie-Herzégovine;Republic of Srpska;;3;6.5;921;1291;43.78458;18.58931;https://www.ski-rp.com/;https://www.ski-rp.com/ski-pass/;forfait;site visité, rien d'exploitable dans ses métadonnées ni ses tableaux;;;;;;;
ba-ski-centar-vlasic;Ski centar Vlašić;Bosnie-Herzégovine;Central Bosnia;;5;7.1;1229;1524;44.31136;17.57991;;;forfait;aucun site web connu (OpenSkiMap n'en publie pas);;;;;;;
ba-sportski-centar-milici;Sportski centar Milići;Bosnie-Herzégovine;Republic of Srpska;;1;0.1;280;289;44.16385;19.07574;https://sportski-centar-milici.business.site/;;photo et forfait;site injoignable (404);;;;;;;
ba-trebevic;Trebević;Bosnie-Herzégovine;Sarajevo;Sarajevo;1;0;578;1153;43.84768;18.44255;;;photo et forfait;aucun site web connu (OpenSkiMap n'en publie pas);;;;;;;
